ops	steps	M	K	N	zone
7820	830096	200	7	239	3,2,1,1
7835	833992	200	7	240	3,1,1,2
7849	837900	200	7	241	3,1,1,1,1
7866	841836	200	7	242	3,1,1,2
7880	845776	200	7	243	3,1,1,1,1
7895	849736	200	7	244	3,1,1,2
7909	853708	200	7	245	3,1,2,1
7925	857712	200	7	246	3,1,3
7939	861716	200	7	247	3,1,1,1,1
7954	865740	200	7	248	3,1,1,2
7968	869776	200	7	249	3,1,1,1,1
7985	873840	200	7	250	4,1,2
7999	877908	200	7	251	4,1,1,1
8014	881996	200	7	252	5,2
8028	886096	200	7	253	6,1
19578	8783388	199	8	1022	8
19592	8799808	199	8	1023	6,1,1
19607	8816248	199	8	1024	5,1,2
19621	8832700	199	8	1025	5,1,1,1
19638	8849180	199	8	1026	4,1,1,2
19652	8865664	199	8	1027	4,1,1,1,1
19667	8882168	199	8	1028	4,1,1,2
19681	8898684	199	8	1029	4,1,2,1
19697	8915232	199	8	1030	4,1,3
19711	8931780	199	8	1031	4,1,1,1,1
19726	8948348	199	8	1032	4,1,1,2
19740	8964928	199	8	1033	4,1,1,1,1
19757	8981536	199	8	1034	4,1,1,2
19771	8998148	199	8	1035	4,1,1,1,1
19786	9014780	199	8	1036	4,2,2
19800	9031424	199	8	1037	4,3,1
19817	9048108	199	8	1038	3,1,4
19831	9064784	199	8	1039	3,1,2,1,1
19846	9081480	199	8	1040	3,1,1,1,2
19860	9098188	199	8	1041	3,1,1,1,1,1
19877	9114924	199	8	1042	3,1,1,1,2
19891	9131664	199	8	1043	3,1,1,1,1,1
19906	9148424	199	8	1044	3,1,1,1,2
19920	9165196	199	8	1045	3,1,1,2,1
19936	9182000	199	8	1046	3,1,1,3
19950	9198804	199	8	1047	3,1,1,1,1,1
19965	9215628	199	8	1048	3,1,1,1,2
19979	9232464	199	8	1049	3,1,1,1,1,1
19996	9249328	199	8	1050	3,2,1,2
20010	9266196	199	8	1051	3,2,1,1,1
20025	9283084	199	8	1052	3,3,2
20039	9299984	199	8	1053	3,4,1
20057	9316928	199	8	1054	2,1,5
20071	9333860	199	8	1055	2,1,3,1,1
20086	9350812	199	8	1056	2,1,2,1,2
20100	9367776	199	8	1057	2,1,2,1,1,1
20117	9384768	199	8	1058	2,1,1,1,1,2
20131	9401764	199	8	1059	2,1,1,1,1,1,1
20146	9418780	199	8	1060	2,1,1,1,1,2
20160	9435808	199	8	1061	2,1,1,1,2,1
20176	9452868	199	8	1062	2,1,1,1,3
20190	9469928	199	8	1063	2,1,1,1,1,1,1
20205	9487008	199	8	1064	2,1,1,1,1,2
20219	9504100	199	8	1065	2,1,1,1,1,1,1
20236	9521220	199	8	1066	2,1,1,1,1,2
20250	9538344	199	8	1067	2,1,1,1,1,1,1
20265	9555488	199	8	1068	2,1,1,2,2
20279	9572644	199	8	1069	2,1,1,3,1
20296	9589840	199	8	1070	2,1,1,4
20310	9607028	199	8	1071	2,1,1,2,1,1
20325	9624236	199	8	1072	2,1,1,1,1,2
20339	9641456	199	8	1073	2,1,1,1,1,1,1
20356	9658704	199	8	1074	2,1,1,1,1,2
20370	9675956	199	8	1075	2,1,1,1,1,1,1
20385	9693228	199	8	1076	2,1,1,1,1,2
20399	9710512	199	8	1077	2,1,1,1,2,1
20415	9727828	199	8	1078	2,1,1,1,3
20429	9745144	199	8	1079	2,1,1,1,1,1,1
20444	9762480	199	8	1080	2,1,1,1,1,2
20458	9779828	199	8	1081	2,1,1,1,1,1,1
20475	9797204	199	8	1082	2,1,2,1,2
20489	9814584	199	8	1083	2,1,2,1,1,1
20504	9831984	199	8	1084	2,1,3,2
20518	9849396	199	8	1085	2,1,4,1
20538	9866860	199	8	1086	1,1,1,5
20552	9884304	199	8	1087	1,1,1,3,1,1
20567	9901768	199	8	1088	1,1,1,2,1,2
20581	9919244	199	8	1089	1,1,1,2,1,1,1
20598	9936748	199	8	1090	1,1,1,1,1,1,2
20612	9954256	199	8	1091	1,1,1,1,1,1,1,1
20627	9971784	199	8	1092	1,1,1,1,1,1,2
